image_path,study_id,biopsy_num,step_size,expo_time,frame_number
LSM001_1a_300_19.png,LSM001,1a,0.1,0.3,19
LSM001_1a_300_20.png,LSM001,1a,0.1,0.3,20
LSM001_1a_300_21.png,LSM001,1a,0.1,0.3,21
LSM001_1a_300_22.png,LSM001,1a,0.1,0.3,22
LSM001_1a_300_23.png,LSM001,1a,0.1,0.3,23
LSM001_1a_300_24.png,LSM001,1a,0.1,0.3,24
LSM001_1a_300_25.png,LSM001,1a,0.1,0.3,25
LSM001_1a_300_26.png,LSM001,1a,0.1,0.3,26
LSM001_1a_300_27.png,LSM001,1a,0.1,0.3,27
LSM001_1a_300_28.png,LSM001,1a,0.1,0.3,28
LSM001_2a_300_7.png,LSM001,2a,0.1,0.3,7
LSM001_2a_300_8.png,LSM001,2a,0.1,0.3,8
LSM001_2a_300_9.png,LSM001,2a,0.1,0.3,9
LSM001_3a_250_10.png,LSM001,3a,0.1,0.25,10
LSM001_3a_250_11.png,LSM001,3a,0.1,0.25,11
LSM001_3a_250_12.png,LSM001,3a,0.1,0.25,12
LSM001_3a_250_14.png,LSM001,3a,0.1,0.25,14
LSM001_3a_250_2.png,LSM001,3a,0.1,0.25,2
LSM001_3a_250_23.png,LSM001,3a,0.1,0.25,23
LSM001_3a_250_24.png,LSM001,3a,0.1,0.25,24
LSM001_3a_250_3.png,LSM001,3a,0.1,0.25,3
LSM001_3a_250_4.png,LSM001,3a,0.1,0.25,4
LSM001_3a_250_5.png,LSM001,3a,0.1,0.25,5
LSM001_3a_250_6.png,LSM001,3a,0.1,0.25,6
LSM001_3a_250_7.png,LSM001,3a,0.1,0.25,7
LSM001_3a_250_8.png,LSM001,3a,0.1,0.25,8
LSM001_3a_250_9.png,LSM001,3a,0.1,0.25,9
LSM001_3b_200_12.png,LSM001,3b,0.1,0.2,12
LSM001_3b_200_13.png,LSM001,3b,0.1,0.2,13
LSM001_3b_200_14.png,LSM001,3b,0.1,0.2,14
LSM001_3b_200_15.png,LSM001,3b,0.1,0.2,15
LSM001_3b_200_16.png,LSM001,3b,0.1,0.2,16
LSM001_3b_200_17.png,LSM001,3b,0.1,0.2,17
LSM001_3b_200_18.png,LSM001,3b,0.1,0.2,18
LSM001_3b_200_19.png,LSM001,3b,0.1,0.2,19
LSM001_3b_200_20.png,LSM001,3b,0.1,0.2,20
LSM001_3b_200_21.png,LSM001,3b,0.1,0.2,21
LSM001_3b_200_22.png,LSM001,3b,0.1,0.2,22
LSM001_3b_200_23.png,LSM001,3b,0.1,0.2,23
LSM001_3b_200_24.png,LSM001,3b,0.1,0.2,24
LSM001_3b_200_25.png,LSM001,3b,0.1,0.2,25
LSM001_3b_200_26.png,LSM001,3b,0.1,0.2,26
LSM001_3b_200_27.png,LSM001,3b,0.1,0.2,27
LSM002_1_200_13.png,LSM002,1,0.1,0.2,13
LSM002_1_200_14.png,LSM002,1,0.1,0.2,14
LSM002_1_200_15.png,LSM002,1,0.1,0.2,15
LSM002_1_200_16.png,LSM002,1,0.1,0.2,16
LSM002_1_200_17.png,LSM002,1,0.1,0.2,17
LSM002_1_200_18.png,LSM002,1,0.1,0.2,18
LSM002_1_200_19.png,LSM002,1,0.1,0.2,19
LSM002_1_200_20.png,LSM002,1,0.1,0.2,20
LSM002_1_200_21.png,LSM002,1,0.1,0.2,21
LSM002_1_200_22.png,LSM002,1,0.1,0.2,22
LSM002_1_200_23.png,LSM002,1,0.1,0.2,23
LSM002_1_200_24.png,LSM002,1,0.1,0.2,24
LSM002_1_200_25.png,LSM002,1,0.1,0.2,25
LSM002_1_200_26.png,LSM002,1,0.1,0.2,26
LSM002_1_200_27.png,LSM002,1,0.1,0.2,27
LSM002_1_200_28.png,LSM002,1,0.1,0.2,28
LSM002_1_200_29.png,LSM002,1,0.1,0.2,29
LSM002_1_200_30.png,LSM002,1,0.1,0.2,30
LSM002_1_200_31.png,LSM002,1,0.1,0.2,31
LSM002_1_200_32.png,LSM002,1,0.1,0.2,32
LSM002_1_200_33.png,LSM002,1,0.1,0.2,33
LSM002_2_200_16.png,LSM002,2,0.1,0.2,16
LSM002_2_200_17.png,LSM002,2,0.1,0.2,17
LSM002_2_200_18.png,LSM002,2,0.1,0.2,18
