image_path,label
LSM001_1a_300_19.png,NSA
LSM001_1a_300_20.png,NSA
LSM001_1a_300_21.png,NSA
LSM001_1a_300_22.png,NSA
LSM001_1a_300_23.png,NSA
LSM001_1a_300_24.png,NSA
LSM001_1a_300_25.png,NSA
LSM001_1a_300_26.png,NSA
LSM001_1a_300_27.png,NSA
LSM001_1a_300_28.png,NSA
LSM001_2a_300_7.png,NSA
LSM001_2a_300_8.png,NSA
LSM001_2a_300_9.png,NSA
LSM001_3a_250_10.png,NSA
LSM001_3a_250_11.png,NSA
LSM001_3a_250_12.png,NSA
LSM001_3a_250_14.png,NSA
LSM001_3a_250_2.png,NSA
LSM001_3a_250_23.png,NSA
LSM001_3a_250_24.png,NSA
LSM001_3a_250_3.png,NSA
LSM001_3a_250_4.png,NSA
LSM001_3a_250_5.png,NSA
LSM001_3a_250_6.png,NSA
LSM001_3a_250_7.png,NSA
LSM001_3a_250_8.png,NSA
LSM001_3a_250_9.png,NSA
LSM001_3b_200_12.png,NSA
LSM001_3b_200_13.png,NSA
LSM001_3b_200_14.png,NSA
LSM001_3b_200_15.png,NSA
LSM001_3b_200_16.png,NSA
LSM001_3b_200_17.png,NSA
LSM001_3b_200_18.png,NSA
LSM001_3b_200_19.png,NSA
LSM001_3b_200_20.png,NSA
LSM001_3b_200_21.png,NSA
LSM001_3b_200_22.png,NSA
LSM001_3b_200_23.png,NSA
LSM001_3b_200_24.png,NSA
LSM001_3b_200_25.png,NSA
LSM001_3b_200_26.png,NSA
LSM001_3b_200_27.png,NSA
LSM002_1_200_13.png,NSA
LSM002_1_200_14.png,NSA
LSM002_1_200_15.png,NSA
LSM002_1_200_16.png,NSA
LSM002_1_200_17.png,NSA
LSM002_1_200_18.png,NSA
LSM002_1_200_19.png,NSA
LSM002_1_200_20.png,NSA
LSM002_1_200_21.png,NSA
LSM002_1_200_22.png,NSA
LSM002_1_200_23.png,NSA
LSM002_1_200_24.png,NSA
LSM002_1_200_25.png,NSA
LSM002_1_200_26.png,NSA
LSM002_1_200_27.png,NSA
LSM002_1_200_28.png,NSA
LSM002_1_200_29.png,NSA
LSM002_1_200_30.png,NSA
LSM002_1_200_31.png,NSA
LSM002_1_200_32.png,NSA
LSM002_1_200_33.png,NSA
LSM002_2_200_16.png,NSA
LSM002_2_200_17.png,NSA
LSM002_2_200_18.png,NSA
LSM002_2_200_19.png,NSA
LSM002_2_200_20.png,NSA
LSM002_2_200_22.png,NSA
LSM002_2_200_24.png,NSA
LSM002_2_200_27.png,NSA
LSM002_2_200_28.png,NSA
LSM002_2_200_29.png,NSA
LSM002_2_200_30.png,NSA
LSM002_2_200_31.png,NSA
LSM002_2_200_32.png,NSA
LSM002_2_200_33.png,NSA
LSM002_2_200_34.png,NSA
LSM002_2_200_35.png,NSA
LSM002_2_200_36.png,NSA
LSM002_2_200_37.png,NSA
LSM002_2_200_38.png,NSA
LSM002_3_300_28.png,NSA
LSM002_3_300_29.png,NSA
LSM002_3_300_32.png,NSA
LSM002_4_400_27.png,HSIL
LSM005_1_200_11.png,NSA
